id,manufacturer,anatomy,name,ap_filename,lateral_filename,templating_filename
zb-nexgen,Zimmer Biomet,Knee,NexGen,zb-nexgen-ap.jpg,zb-nexgen-lat.jpg,zb-nexgen-tmpl.jpg
zb-persona,Zimmer Biomet,Knee,Persona,zb-persona-ap.jpg,zb-persona-lat.jpg,zb-persona-tmpl.jpg
zb-oxford,Zimmer Biomet,Knee,Oxford Partial Knee,zb-oxford-ap.jpg,zb-oxford-lat.jpg,zb-oxford-tmpl.jpg
zb-taperloc,Zimmer Biomet,Hip,Taperloc,zb-taperloc-ap.jpg,zb-taperloc-lat.jpg,zb-taperloc-tmpl.jpg
zb-g7,Zimmer Biomet,Hip,G7 Acetabular System,zb-g7-ap.jpg,zb-g7-lat.jpg,zb-g7-tmpl.jpg
zb-comprehensive-shoulder,Zimmer Biomet,Shoulder,Comprehensive Shoulder,zb-comprehensive-shoulder-ap.jpg,zb-comprehensive-shoulder-lat.jpg,zb-comprehensive-shoulder-tmpl.jpg
zb-cls-spotorno,Zimmer Biomet,Hip,CLS Spotorno,zb-cls-spotorno-ap.jpg,zb-cls-spotorno-lat.jpg,zb-cls-spotorno-tmpl.jpg
zb-ml-taper,Zimmer Biomet,Hip,M/L Taper,zb-ml-taper-ap.jpg,zb-ml-taper-lat.jpg,zb-ml-taper-tmpl.jpg
zb-wagner-cone,Zimmer Biomet,Hip,Wagner Cone,zb-wagner-cone-ap.jpg,zb-wagner-cone-lat.jpg,zb-wagner-cone-tmpl.jpg
zb-continuum,Zimmer Biomet,Hip,Continuum Acetabular System,zb-continuum-ap.jpg,zb-continuum-lat.jpg,zb-continuum-tmpl.jpg
zb-trilogy,Zimmer Biomet,Hip,Trilogy Acetabular System,zb-trilogy-ap.jpg,zb-trilogy-lat.jpg,zb-trilogy-tmpl.jpg
zb-vanguard,Zimmer Biomet,Knee,Vanguard,zb-vanguard-ap.jpg,zb-vanguard-lat.jpg,zb-vanguard-tmpl.jpg
zb-arcos,Zimmer Biomet,Hip,Arcos Modular Femoral Revision,zb-arcos-ap.jpg,zb-arcos-lat.jpg,zb-arcos-tmpl.jpg
zb-versys-fm-taper,Zimmer Biomet,Hip,VerSys Fiber Metal Taper,zb-versys-fm-taper-ap.jpg,zb-versys-fm-taper-lat.jpg,zb-versys-fm-taper-tmpl.jpg
zb-versys-fm-midcoat,Zimmer Biomet,Hip,VerSys Fiber Metal MidCoat,zb-versys-fm-midcoat-ap.jpg,zb-versys-fm-midcoat-lat.jpg,zb-versys-fm-midcoat-tmpl.jpg
zb-versys-fullcoat,Zimmer Biomet,Hip,VerSys Beaded FullCoat,zb-versys-fullcoat-ap.jpg,zb-versys-fullcoat-lat.jpg,zb-versys-fullcoat-tmpl.jpg
zb-avenir,Zimmer Biomet,Hip,Avenir Complete,zb-avenir-ap.jpg,zb-avenir-lat.jpg,zb-avenir-tmpl.jpg
zb-fitmore,Zimmer Biomet,Hip,Fitmore,zb-fitmore-ap.jpg,zb-fitmore-lat.jpg,zb-fitmore-tmpl.jpg
zb-alloclassic,Zimmer Biomet,Hip,Alloclassic Zweymüller,zb-alloclassic-ap.jpg,zb-alloclassic-lat.jpg,zb-alloclassic-tmpl.jpg
zb-bimetric,Zimmer Biomet,Hip,,zb-bimetric-ap.jpg,zb-bimetric-lat.jpg,zb-bimetric-tmpl.jpg
zb-cpt,Zimmer Biomet,Hip,,zb-cpt-ap.jpg,zb-cpt-lat.jpg,zb-cpt-tmpl.jpg
zb-echo,Zimmer Biomet,Hip,,zb-echo-ap.jpg,zb-echo-lat.jpg,zb-echo-tmpl.jpg
zb-integral,Zimmer Biomet,Hip,,zb-integral-ap.jpg,zb-integral-lat.jpg,zb-integral-tmpl.jpg
zb-mallory-head,Zimmer Biomet,Hip,,zb-mallory-head-ap.jpg,zb-mallory-head-lat.jpg,zb-mallory-head-tmpl.jpg
zb-oss,Zimmer Biomet,Hip,,zb-oss-ap.jpg,zb-oss-lat.jpg,zb-oss-tmpl.jpg
zb-zss,Zimmer Biomet,Hip,,zb-zss-ap.jpg,zb-zss-lat.jpg,zb-zss-tmpl.jpg
zb-versys-heritage,Zimmer Biomet,Hip,,zb-versys-heritage-ap.jpg,zb-versys-heritage-lat.jpg,zb-versys-heritage-tmpl.jpg
zb-versys-beaded-midcoat,Zimmer Biomet,Hip,,zb-versys-beaded-midcoat-ap.jpg,zb-versys-beaded-midcoat-lat.jpg,zb-versys-beaded-midcoat-tmpl.jpg
zb-mueller,Zimmer Biomet,Hip,,zb-mueller-ap.jpg,zb-mueller-lat.jpg,zb-mueller-tmpl.jpg
zb-cdh,Zimmer Biomet,Hip,,zb-cdh-ap.jpg,zb-cdh-lat.jpg,zb-cdh-tmpl.jpg
zb-versys-crc,Zimmer Biomet,Hip,,zb-versys-crc-ap.jpg,zb-versys-crc-lat.jpg,zb-versys-crc-tmpl.jpg
zb-versys-advocate,Zimmer Biomet,Hip,,zb-versys-advocate-ap.jpg,zb-versys-advocate-lat.jpg,zb-versys-advocate-tmpl.jpg
zb-wagner-sl,Zimmer Biomet,Hip,,zb-wagner-sl-ap.jpg,zb-wagner-sl-lat.jpg,zb-wagner-sl-tmpl.jpg
zb-zmr,Zimmer Biomet,Hip,,zb-zmr-ap.jpg,zb-zmr-lat.jpg,zb-zmr-tmpl.jpg
